start,end,position,role,state,seconds
5292.0,5292.5,takedown,unknown,takedown1,0.5
5292.5,5295.5,takedown,athlete2,takedown1,3.0
5295.5,5298.0,unknown,athlete2,unknown,2.5
5298.0,5299.5,back,athlete1,closed_guard1,1.5
5299.5,5306.0,unknown,unknown,unknown,6.5
5306.0,5307.0,turtle,athlete1,turtle2,1.0
5307.0,5312.5,unknown,unknown,unknown,5.5
5312.5,5313.0,takedown,athlete1,takedown1,0.5
5313.0,5313.5,takedown,athlete2,takedown1,0.5
5313.5,5314.5,takedown,athlete1,takedown1,1.0
5314.5,5315.0,takedown,athlete2,takedown1,0.5
5315.0,5320.0,takedown,none,takedown1,5.0
5320.0,5326.0,open_guard,none,open_guard1,6.0
5326.0,5334.5,open_guard,athlete2,open_guard1,8.5
5334.5,5335.5,open_guard,none,open_guard1,1.0
5335.5,5338.0,open_guard,athlete1,open_guard1,2.5
5338.0,5340.0,open_guard,athlete1,open_guard2,2.0
5340.0,5341.0,open_guard,none,open_guard2,1.0
5341.0,5341.5,open_guard,athlete1,open_guard2,0.5
5341.5,5342.0,open_guard,athlete2,open_guard2,0.5
5342.0,5346.0,open_guard,athlete1,open_guard2,4.0
5346.0,5351.0,open_guard,athlete2,open_guard2,5.0
5351.0,5351.5,open_guard,none,open_guard2,0.5
5351.5,5360.0,open_guard,athlete2,open_guard2,8.5
5360.0,5360.5,open_guard,none,open_guard2,0.5
5360.5,5361.5,open_guard,athlete1,open_guard2,1.0
5361.5,5363.0,open_guard,none,open_guard2,1.5
5363.0,5363.5,open_guard,athlete1,open_guard2,0.5
5363.5,5367.0,open_guard,none,open_guard2,3.5
5367.0,5367.5,open_guard,unknown,open_guard2,0.5
5367.5,5368.5,open_guard,athlete1,open_guard2,1.0
5368.5,5369.0,open_guard,none,open_guard2,0.5
5369.0,5370.0,open_guard,athlete2,open_guard2,1.0
5370.0,5375.5,open_guard,none,open_guard2,5.5
5375.5,5377.5,unknown,unknown,unknown,2.0
5377.5,5386.5,standing,athlete1,standing,9.0
5386.5,5389.0,standing,none,standing,2.5
5389.0,5392.5,takedown,none,takedown2,3.5
5392.5,5393.5,takedown,athlete2,takedown2,1.0
5393.5,5394.0,takedown,athlete1,takedown2,0.5
5394.0,5396.0,takedown,none,takedown2,2.0
5396.0,5397.0,takedown,unknown,takedown2,1.0
5397.0,5403.5,takedown,none,takedown2,6.5
5403.5,5404.5,takedown,athlete2,takedown2,1.0
5404.5,5406.0,takedown,unknown,takedown2,1.5
5406.0,5406.5,takedown,athlete1,takedown2,0.5
5406.5,5408.0,takedown,unknown,takedown2,1.5
5408.0,5412.5,takedown,athlete1,takedown2,4.5
5412.5,5414.5,unknown,athlete1,unknown,2.0
5414.5,5417.0,5050_guard,athlete1,5050_guard,2.5
5417.0,5417.5,5050_guard,athlete2,5050_guard,0.5
5417.5,5418.0,5050_guard,unknown,5050_guard,0.5
5418.0,5418.5,5050_guard,none,5050_guard,0.5
5418.5,5419.0,5050_guard,athlete2,5050_guard,0.5
5419.0,5419.5,5050_guard,none,5050_guard,0.5
5419.5,5420.5,5050_guard,athlete1,5050_guard,1.0
5420.5,5423.0,5050_guard,none,5050_guard,2.5
5423.0,5423.5,5050_guard,athlete1,5050_guard,0.5
5423.5,5424.0,5050_guard,unknown,5050_guard,0.5
5424.0,5424.5,5050_guard,athlete2,5050_guard,0.5
5424.5,5428.0,unknown,unknown,unknown,3.5
5428.0,5431.5,standing,none,standing,3.5
5431.5,5432.0,standing,unknown,standing,0.5
5432.0,5432.5,standing,none,standing,0.5
5432.5,5434.5,standing,athlete1,standing,2.0
5434.5,5435.5,standing,unknown,standing,1.0
5435.5,5436.0,standing,none,standing,0.5
5436.0,5438.5,standing,athlete2,standing,2.5
5438.5,5440.0,standing,athlete1,standing,1.5
5440.0,5443.0,standing,none,standing,3.0
5443.0,5443.5,standing,unknown,standing,0.5
5443.5,5444.0,standing,none,standing,0.5
5444.0,5445.5,standing,unknown,standing,1.5
5445.5,5447.5,standing,none,standing,2.0
5447.5,5449.5,unknown,unknown,unknown,2.0
5449.5,5451.5,open_guard,none,open_guard2,2.0
5451.5,5452.5,open_guard,athlete2,open_guard2,1.0
5452.5,5453.0,open_guard,none,open_guard2,0.5
5453.0,5453.5,open_guard,unknown,open_guard2,0.5
5453.5,5459.5,open_guard,athlete2,open_guard2,6.0
5459.5,5460.0,open_guard,none,open_guard2,0.5
5460.0,5464.5,open_guard,athlete2,open_guard2,4.5
5464.5,5466.0,open_guard,none,open_guard2,1.5
5466.0,5467.5,open_guard,unknown,open_guard2,1.5
5467.5,5468.5,open_guard,none,open_guard2,1.0
5468.5,5471.0,unknown,unknown,unknown,2.5
5471.0,5471.5,back,athlete1,back2,0.5
5471.5,5474.0,back,none,back2,2.5
5474.0,5474.5,back,athlete2,back2,0.5
5474.5,5481.5,back,none,back2,7.0
5481.5,5484.5,unknown,unknown,unknown,3.0
5484.5,5485.0,open_guard,none,open_guard1,0.5
5485.0,5485.5,open_guard,athlete1,open_guard1,0.5
5485.5,5488.5,unknown,unknown,unknown,3.0
5488.5,5495.0,5050_guard,none,5050_guard,6.5
5495.0,5511.5,standing,none,standing,16.5
5511.5,5512.0,standing,unknown,standing,0.5
5512.0,5513.0,standing,none,standing,1.0
5513.0,5513.5,standing,unknown,standing,0.5
5513.5,5515.0,standing,none,standing,1.5
5515.0,5516.0,standing,unknown,standing,1.0
5516.0,5517.0,standing,none,standing,1.0
5517.0,5518.5,standing,unknown,standing,1.5
5518.5,5519.0,standing,none,standing,0.5
5519.0,5535.0,unknown,unknown,unknown,16.0
5535.0,5536.5,open_guard,none,open_guard2,1.5
5536.5,5537.0,open_guard,athlete2,open_guard2,0.5
5537.0,5538.5,open_guard,none,open_guard2,1.5
5538.5,5540.5,open_guard,athlete1,open_guard2,2.0
5540.5,5541.0,open_guard,athlete2,open_guard2,0.5
5541.0,5542.0,open_guard,none,open_guard2,1.0
5542.0,5543.0,open_guard,athlete1,open_guard2,1.0
5543.0,5543.5,open_guard,unknown,open_guard2,0.5
5543.5,5544.0,open_guard,athlete1,open_guard2,0.5
5544.0,5544.5,open_guard,athlete2,open_guard2,0.5
5544.5,5545.0,open_guard,unknown,open_guard2,0.5
5545.0,5545.5,open_guard,athlete2,open_guard2,0.5
5545.5,5546.0,open_guard,none,open_guard2,0.5
5546.0,5547.0,open_guard,unknown,open_guard2,1.0
5547.0,5550.0,open_guard,athlete2,open_guard2,3.0
5550.0,5550.5,open_guard,athlete1,open_guard2,0.5
5550.5,5551.5,open_guard,unknown,open_guard2,1.0
5551.5,5552.0,open_guard,none,open_guard2,0.5
5552.0,5552.5,open_guard,unknown,open_guard2,0.5
5552.5,5553.0,open_guard,athlete2,open_guard2,0.5
5553.0,5553.5,open_guard,unknown,open_guard2,0.5
5553.5,5556.5,open_guard,athlete2,open_guard2,3.0
5556.5,5557.0,open_guard,none,open_guard2,0.5
5557.0,5558.5,open_guard,unknown,open_guard2,1.5
5558.5,5559.0,open_guard,none,open_guard2,0.5
5559.0,5559.5,open_guard,unknown,open_guard2,0.5
5559.5,5560.0,open_guard,none,open_guard2,0.5
5560.0,5561.0,open_guard,athlete2,open_guard2,1.0
5561.0,5563.5,open_guard,none,open_guard2,2.5
5563.5,5566.5,open_guard,athlete2,open_guard2,3.0
5566.5,5567.5,open_guard,none,open_guard2,1.0
5567.5,5568.0,open_guard,athlete1,open_guard2,0.5
5568.0,5569.0,open_guard,athlete2,open_guard2,1.0
5569.0,5570.0,open_guard,none,open_guard2,1.0
5570.0,5591.5,unknown,unknown,unknown,21.5
